benchmark,tree-vectorize,unroll-loops,slp-vectorize,inline-functions,prefetch-loop-arrays,omit-frame-pointer,align-functions,median_exec_time_sec,speedup_vs_O3
cat-cat1,-ftree-vectorize,-funroll-loops,-fno-tree-slp-vectorize,-finline-functions,-fno-prefetch-loop-arrays,-fno-omit-frame-pointer,-falign-functions=16,0.27909458352951333,1.0104466519734903
cat-cat1,-ftree-vectorize,-funroll-loops,-fno-tree-slp-vectorize,-finline-functions,-fno-prefetch-loop-arrays,-fno-omit-frame-pointer,-falign-functions=32,0.2790948540205136,1.0104456726765891
cat-cat1,-ftree-vectorize,-funroll-loops,-fno-tree-slp-vectorize,-finline-functions,-fno-prefetch-loop-arrays,-fno-omit-frame-pointer,-falign-functions=64,0.27904627099633217,1.0106215951369553
cat-cat1,-ftree-vectorize,-funroll-loops,-fno-tree-slp-vectorize,-fno-inline-functions,-fprefetch-loop-arrays,-fomit-frame-pointer,-falign-functions=1,0.27904691646108404,1.010619257463329
cat-cat1,-ftree-vectorize,-funroll-loops,-fno-tree-slp-vectorize,-fno-inline-functions,-fprefetch-loop-arrays,-fomit-frame-pointer,-falign-functions=16,0.2791325624566525,1.0103091700565272
cat-cat1,-ftree-vectorize,-funroll-loops,-fno-tree-slp-vectorize,-fno-inline-functions,-fprefetch-loop-arrays,-fomit-frame-pointer,-falign-functions=32,0.2790727289393544,1.0105257815163167
cat-cat1,-ftree-vectorize,-funroll-loops,-fno-tree-slp-vectorize,-fno-inline-functions,-fprefetch-loop-arrays,-fomit-frame-pointer,-falign-functions=64,0.279234167013783,1.009941550230894
cat-cat1,-ftree-vectorize,-funroll-loops,-fno-tree-slp-vectorize,-fno-inline-functions,-fprefetch-loop-arrays,-fno-omit-frame-pointer,-falign-functions=1,0.2795724580064416,1.0087194909050539
cat-cat1,-ftree-vectorize,-funroll-loops,-fno-tree-slp-vectorize,-fno-inline-functions,-fprefetch-loop-arrays,-fno-omit-frame-pointer,-falign-functions=16,0.2794006670010276,1.0093397075186479
cat-cat1,-ftree-vectorize,-funroll-loops,-fno-tree-slp-vectorize,-fno-inline-functions,-fprefetch-loop-arrays,-fno-omit-frame-pointer,-falign-functions=32,0.2794262084644288,1.0092474469775174
cat-cat1,-ftree-vectorize,-funroll-loops,-fno-tree-slp-vectorize,-fno-inline-functions,-fprefetch-loop-arrays,-fno-omit-frame-pointer,-falign-functions=64,0.2795438329339959,1.0088227830013292
cat-cat1,-ftree-vectorize,-funroll-loops,-fno-tree-slp-vectorize,-fno-inline-functions,-fno-prefetch-loop-arrays,-fomit-frame-pointer,-falign-functions=1,0.2793082085554488,1.0096738258064732
cat-cat1,-ftree-vectorize,-funroll-loops,-fno-tree-slp-vectorize,-fno-inline-functions,-fno-prefetch-loop-arrays,-fomit-frame-pointer,-falign-functions=16,0.2793364165117964,1.009571866901296
cat-cat1,-ftree-vectorize,-funroll-loops,-fno-tree-slp-vectorize,-fno-inline-functions,-fno-prefetch-loop-arrays,-fomit-frame-pointer,-falign-functions=32,0.2794278959627263,1.0092413520121502
cat-cat1,-ftree-vectorize,-funroll-loops,-fno-tree-slp-vectorize,-fno-inline-functions,-fno-prefetch-loop-arrays,-fomit-frame-pointer,-falign-functions=64,0.2792456250754185,1.0099001101097544
cat-cat1,-ftree-vectorize,-funroll-loops,-fno-tree-slp-vectorize,-fno-inline-functions,-fno-prefetch-loop-arrays,-fno-omit-frame-pointer,-falign-functions=1,0.27933470846619457,1.0095780401219334
cat-cat1,-ftree-vectorize,-funroll-loops,-fno-tree-slp-vectorize,-fno-inline-functions,-fno-prefetch-loop-arrays,-fno-omit-frame-pointer,-falign-functions=16,0.2794377080281265,1.0092059139096106
cat-cat1,-ftree-vectorize,-funroll-loops,-fno-tree-slp-vectorize,-fno-inline-functions,-fno-prefetch-loop-arrays,-fno-omit-frame-pointer,-falign-functions=32,0.2795243540313095,1.0088930837122851
cat-cat1,-ftree-vectorize,-funroll-loops,-fno-tree-slp-vectorize,-fno-inline-functions,-fno-prefetch-loop-arrays,-fno-omit-frame-pointer,-falign-functions=64,0.2793945205048658,1.009361912330063
cat-cat1,-ftree-vectorize,-fno-unroll-loops,-ftree-slp-vectorize,-finline-functions,-fprefetch-loop-arrays,-fomit-frame-pointer,-falign-functions=1,0.27921997901285067,1.0099928683769195
cat-cat1,-ftree-vectorize,-fno-unroll-loops,-ftree-slp-vectorize,-finline-functions,-fprefetch-loop-arrays,-fomit-frame-pointer,-falign-functions=16,0.2792048954870552,1.0100474313653545
cat-cat1,-ftree-vectorize,-fno-unroll-loops,-ftree-slp-vectorize,-finline-functions,-fprefetch-loop-arrays,-fomit-frame-pointer,-falign-functions=32,0.27941881254082546,1.009274160701432
cat-cat1,-ftree-vectorize,-fno-unroll-loops,-ftree-slp-vectorize,-finline-functions,-fprefetch-loop-arrays,-fomit-frame-pointer,-falign-functions=64,0.27931558300042525,1.009647168560957
cat-cat1,-ftree-vectorize,-fno-unroll-loops,-ftree-slp-vectorize,-finline-functions,-fprefetch-loop-arrays,-fno-omit-frame-pointer,-falign-functions=1,0.2795623334823176,1.0087560223100283
cat-cat1,-ftree-vectorize,-fno-unroll-loops,-ftree-slp-vectorize,-finline-functions,-fprefetch-loop-arrays,-fno-omit-frame-pointer,-falign-functions=16,0.2794580204645172,1.0091325596687937
cat-cat1,-ftree-vectorize,-fno-unroll-loops,-ftree-slp-vectorize,-finline-functions,-fprefetch-loop-arrays,-fno-omit-frame-pointer,-falign-functions=32,0.27926624997053295,1.0098255250718227
cat-cat1,-ftree-vectorize,-fno-unroll-loops,-ftree-slp-vectorize,-finline-functions,-fprefetch-loop-arrays,-fno-omit-frame-pointer,-falign-functions=64,0.27930527058197185,1.0096844464256776
cat-cat1,-ftree-vectorize,-fno-unroll-loops,-ftree-slp-vectorize,-finline-functions,-fno-prefetch-loop-arrays,-fomit-frame-pointer,-falign-functions=1,0.27946804149542004,1.0090963746777963
cat-cat1,-ftree-vectorize,-fno-unroll-loops,-ftree-slp-vectorize,-finline-functions,-fno-prefetch-loop-arrays,-fomit-frame-pointer,-falign-functions=16,0.2793090834748,1.0096706630623276
cat-cat1,-ftree-vectorize,-fno-unroll-loops,-ftree-slp-vectorize,-finline-functions,-fno-prefetch-loop-arrays,-fomit-frame-pointer,-falign-functions=32,0.2793605625629425,1.0094846062883083
cat-cat1,-ftree-vectorize,-fno-unroll-loops,-ftree-slp-vectorize,-finline-functions,-fno-prefetch-loop-arrays,-fomit-frame-pointer,-falign-functions=64,0.2794495835551061,1.009163026559749
cat-cat1,-ftree-vectorize,-fno-unroll-loops,-ftree-slp-vectorize,-finline-functions,-fno-prefetch-loop-arrays,-fno-omit-frame-pointer,-falign-functions=1,0.27941710397135466,1.0092803321740944
cat-cat1,-ftree-vectorize,-fno-unroll-loops,-ftree-slp-vectorize,-finline-functions,-fno-prefetch-loop-arrays,-fno-omit-frame-pointer,-falign-functions=16,0.27925781201338395,1.009856037609492
cat-cat1,-ftree-vectorize,-fno-unroll-loops,-ftree-slp-vectorize,-finline-functions,-fno-prefetch-loop-arrays,-fno-omit-frame-pointer,-falign-functions=32,0.27929402102017775,1.009725115064165
