benchmark,tree-vectorize,unroll-loops,slp-vectorize,inline-functions,prefetch-loop-arrays,omit-frame-pointer,align-functions,median_exec_time_sec,speedup_vs_O3
cat-cat1,-ftree-vectorize,-fno-unroll-loops,-ftree-slp-vectorize,-finline-functions,-fno-prefetch-loop-arrays,-fno-omit-frame-pointer,-falign-functions=32,0.046152092996635474,1.0078929790808338
cat-cat1,-ftree-vectorize,-fno-unroll-loops,-ftree-slp-vectorize,-finline-functions,-fno-prefetch-loop-arrays,-fno-omit-frame-pointer,-falign-functions=64,0.046293775500089396,1.004808313832705
cat-cat1,-ftree-vectorize,-fno-unroll-loops,-ftree-slp-vectorize,-fno-inline-functions,-fprefetch-loop-arrays,-fomit-frame-pointer,-falign-functions=1,0.04634257450015866,1.0037502448431164
cat-cat1,-ftree-vectorize,-fno-unroll-loops,-ftree-slp-vectorize,-fno-inline-functions,-fprefetch-loop-arrays,-fomit-frame-pointer,-falign-functions=16,0.04625472299812827,1.00565666565719
cat-cat1,-ftree-vectorize,-fno-unroll-loops,-ftree-slp-vectorize,-fno-inline-functions,-fprefetch-loop-arrays,-fomit-frame-pointer,-falign-functions=32,0.04640889550137217,1.002315827572739
cat-cat1,-ftree-vectorize,-fno-unroll-loops,-ftree-slp-vectorize,-fno-inline-functions,-fprefetch-loop-arrays,-fomit-frame-pointer,-falign-functions=64,0.04632178600149928,1.0042007123751455
cat-cat1,-ftree-vectorize,-fno-unroll-loops,-ftree-slp-vectorize,-fno-inline-functions,-fprefetch-loop-arrays,-fno-omit-frame-pointer,-falign-functions=1,0.046410747498157434,1.0022758306799815
cat-cat1,-ftree-vectorize,-fno-unroll-loops,-ftree-slp-vectorize,-fno-inline-functions,-fprefetch-loop-arrays,-fno-omit-frame-pointer,-falign-functions=16,0.04643242049860419,1.0018080040129063
cat-cat1,-ftree-vectorize,-fno-unroll-loops,-ftree-slp-vectorize,-fno-inline-functions,-fprefetch-loop-arrays,-fno-omit-frame-pointer,-falign-functions=32,0.04628289599713753,1.0050445094030314
cat-cat1,-ftree-vectorize,-fno-unroll-loops,-ftree-slp-vectorize,-fno-inline-functions,-fprefetch-loop-arrays,-fno-omit-frame-pointer,-falign-functions=64,0.04426914299619966,1.050762841855508
